iter	Passed	Remaining
405	6466	1497
406	6479	1480
407	6493	1464
408	6506	1447
409	6518	1430
410	6533	1414
411	6551	1399
412	6568	1383
413	6618	1374
414	6630	1358
415	6646	1342
416	6660	1325
417	6672	1308
418	6683	1291
419	6697	1275
420	6710	1259
421	6724	1242
422	6735	1226
423	6748	1209
424	6761	1193
425	6778	1177
426	6792	1161
427	6808	1145
428	6826	1129
429	6844	1114
430	6857	1097
431	6870	1081
432	6881	1064
433	6893	1048
434	6906	1031
435	6919	1015
436	6931	999
437	6944	983
438	6959	967
439	6974	951
440	6991	935
441	7006	919
442	7024	903
443	7042	888
444	7060	872
445	7072	856
446	7086	840
447	7103	824
448	7122	808
449	7135	792
450	7149	776
451	7160	760
452	7173	744
453	7188	728
454	7205	712
455	7221	696
456	7238	681
457	7259	665
458	7274	649
459	7287	633
460	7301	617
461	7314	601
462	7325	585
463	7336	569
464	7355	553
465	7368	537
466	7382	521
467	7396	505
468	7413	490
469	7430	474
470	7446	458
471	7500	444
472	7514	428
473	7529	413
474	7541	396
475	7552	380
476	7567	364
477	7581	348
478	7594	332
479	7605	316
480	7621	301
481	7643	285
482	7660	269
483	7681	253
484	7694	237
485	7709	222
486	7721	206
487	7732	190
488	7744	174
489	7762	158
490	7779	142
491	7793	126
492	7806	110
493	7817	94
494	7834	79
495	7851	63
496	7871	47
497	7894	31
498	7908	15
499	7924	0
