iter	Logloss
128	0.2926801852
129	0.2924064091
130	0.2921790003
131	0.2920403465
132	0.2919176401
133	0.2916375101
134	0.2914428201
135	0.2911995338
136	0.2910339962
137	0.2908083886
138	0.2905942166
139	0.2902953029
140	0.2900983956
141	0.2898817592
142	0.2897024321
143	0.2895520158
144	0.2893570429
145	0.2891566059
146	0.288912764
147	0.2887366559
148	0.2885334188
149	0.2882446337
150	0.2880946543
151	0.2878559177
152	0.2877381745
153	0.2875952964
154	0.2873464969
155	0.2871742893
156	0.2870037162
157	0.2868552816
158	0.2867004956
159	0.2865241827
160	0.2863356624
161	0.2861828867
162	0.2859970601
163	0.2858888905
164	0.2857299342
165	0.2855179134
166	0.2854175787
167	0.2852398261
168	0.2850178872
169	0.2847986008
170	0.2846882299
171	0.2845079301
172	0.2843241071
173	0.2841358332
174	0.283807382
175	0.2836959564
176	0.2834896479
177	0.2832855547
178	0.2830424408
179	0.2829376023
180	0.2827456718
181	0.2825820323
182	0.2824189849
183	0.2822208839
184	0.2819891859
185	0.2817600683
186	0.2815490539
187	0.2813424086
188	0.2811941641
189	0.2811071698
190	0.2809364481
191	0.2806289509
192	0.2804931112
193	0.2803035953
194	0.2801837398
195	0.2799772637
196	0.2797983096
197	0.2796624487
198	0.2795138748
199	0.2793197996
200	0.2791837475
201	0.2789411716
202	0.2787195397
203	0.2786081307
204	0.2783728381
205	0.2782794048
206	0.2780605944
207	0.2779036507
208	0.2777225056
209	0.277562422
210	0.277478784
211	0.2773966504
212	0.2772881233
213	0.2771689231
214	0.2770288621
215	0.2769575219
216	0.27681198
217	0.2766425634
218	0.2765312764
219	0.276362231
220	0.2761930598
221	0.2760678452
222	0.2759270895
223	0.2757565042
224	0.2756913922
225	0.2755192379
226	0.2752998574
227	0.2751918115
228	0.2750800641
229	0.2749554292
230	0.2748675267
231	0.2746530518
232	0.2744921833
233	0.2742965553
234	0.2742266674
235	0.2740759507
236	0.2739293571
237	0.273768214
238	0.2736562286
239	0.2735484602
240	0.2733640065
241	0.2732534392
242	0.2730852043
243	0.2730016279
244	0.2729350214
245	0.2728688172
246	0.2727204491
247	0.2725816663
248	0.2724279169
249	0.2722879414
250	0.2722116786
251	0.2721012398
252	0.2718918766
253	0.2717444911
254	0.2716996812
255	0.2715693358
256	0.2714368896
257	0.2712950624
258	0.2711822681
259	0.2710292278
260	0.2708844665
261	0.2708097004
262	0.2707371305
263	0.2706540975
264	0.270536065
265	0.2704330957
266	0.2703184146
267	0.2702226876
268	0.2700239341
269	0.2699068068
270	0.2697379441
271	0.2695834205
272	0.2694666217
273	0.2694272272
274	0.2692668395
275	0.269190604
276	0.2691479238
277	0.2689608272
278	0.2687933341
279	0.268641977
280	0.268505484
281	0.2684068183
282	0.2682919961
283	0.2681223386
284	0.2680639435
285	0.2678879915
286	0.2677783848
287	0.267668619
288	0.2675316284
289	0.2673862756
290	0.267281868
291	0.2671727931
292	0.267072703
293	0.2669667093
294	0.2668845212
295	0.2667953058
296	0.2667077248
297	0.2665987093
298	0.2664948557
299	0.2663704331
300	0.2662517614
301	0.2661833182
302	0.2659992513
303	0.2658485996
304	0.2657583879
305	0.2656621615
306	0.2655470964
307	0.2653662163
308	0.2651547836
309	0.2650885849
310	0.2649878095
311	0.2648706798
312	0.2647839382
313	0.2646367842
314	0.2645375318
315	0.2644698846
316	0.264339139
317	0.264195008
318	0.2641066351
319	0.2639702178
320	0.2638769206
321	0.2637814913
322	0.2636782896
323	0.2635386485
324	0.263484031
325	0.2633653941
326	0.2632020341
327	0.263122267
328	0.2629799293
329	0.2628397501
330	0.2627866746
331	0.2626914547
332	0.2625630806
333	0.2624524267
334	0.262345018
335	0.262269314
336	0.2621010606
337	0.2619587081
338	0.2619070665
339	0.2618148647
340	0.2617343506
341	0.261573047
342	0.2614238087
343	0.2612720687
344	0.2610920981
345	0.2609468397
346	0.2608353529
347	0.2606815884
348	0.2605496587
349	0.2604463235
350	0.2603124348
351	0.2601848171
352	0.2600846902
353	0.2599713728
354	0.2598653626
355	0.2597352657
356	0.2596222712
357	0.2595097432
358	0.2594894642
359	0.2594142615
360	0.2593119162
361	0.2592084101
362	0.2591767702
363	0.2591160592
364	0.2590134691
365	0.2588757934
366	0.2587838875
367	0.2586594176
368	0.2584866157
369	0.2583839262
370	0.2582705632
371	0.2581522128
372	0.2581071371
373	0.2580138001
374	0.2579590639
375	0.2578550898
376	0.2577053839
377	0.2576397874
378	0.257615978
379	0.2575233434
380	0.2573623581
381	0.2572826894
382	0.2571684105
383	0.2570549853
384	0.2569246575
385	0.2568359468
386	0.2567313306
387	0.2566384881
388	0.256503672
389	0.2563822819
390	0.256285479
391	0.2561902121
392	0.2561076238
393	0.2560113709
394	0.2559630205
395	0.2558800013
396	0.2557507358
397	0.2556342956
398	0.2554958389
399	0.2553988158
400	0.2553208624
401	0.2552637533
402	0.2552337036
403	0.2552108055
404	0.2551295761
405	0.2550074562
406	0.2549173879
407	0.2548203328
408	0.2546824048
409	0.2545880085
410	0.2544804229
411	0.2543542492
412	0.2542953324
413	0.2542105027
414	0.2541555628
415	0.2540565437
416	0.2539639849
417	0.2538963316
418	0.2537864995
419	0.2537270679
420	0.2536534187
421	0.2535545007
422	0.2534634158
423	0.2534012659
424	0.2533243482
425	0.2532226168
426	0.2531672331
427	0.2530218312
428	0.2529290007
429	0.2528310209
430	0.2527588752
431	0.2526778384
432	0.2525766284
433	0.2525339104
434	0.2524835037
435	0.2524136727
436	0.2522945829
437	0.252172307
438	0.2520818272
439	0.252052374
440	0.2519195645
441	0.2518776302
442	0.2517839148
443	0.2516573353
444	0.2515572041
445	0.2514582086
446	0.2513453334
447	0.2511799608
448	0.2510835483
449	0.2510103667
450	0.2509016278
451	0.2508067051
452	0.2506611645
453	0.2505508151
454	0.250456869
455	0.2503624394
456	0.2502185572
457	0.2501123208
458	0.2500755973
459	0.2499513701
460	0.2498707627
461	0.2497823212
462	0.2496695798
463	0.2495491587
464	0.2494302764
465	0.249334333
466	0.2492267115
467	0.2491314899
468	0.2490147562
469	0.2489012731
470	0.2488137934
471	0.2486911555
472	0.2486059753
473	0.2485158505
474	0.2484153035
475	0.2483280612
476	0.2482955259
477	0.2481832135
478	0.2480592392
479	0.247988766
480	0.2478917824
481	0.2478154362
482	0.2477450135
483	0.2476373441
484	0.2475863575
485	0.247492992
486	0.2473885205
487	0.2473155178
488	0.2472439401
489	0.2471565496
490	0.2470560956
491	0.2469888966
492	0.2468751916
493	0.2468245911
494	0.2467531565
495	0.2466333687
496	0.2465129669
497	0.2463992118
498	0.2463061275
499	0.24621277
